city,price,year,manufacturer,condition,cylinders,odometer,title_status,transmission,drive,size,type,paint_color
"Jefferson City, TN",11897,2016,ford,good,4 cylinders,96708,clean,automatic,fwd,full-size,sedan,red
"jacksonville, FL",5485,2013,hyundai,good,4 cylinders,96706,clean,automatic,fwd,mid-size,sedan,red
high rockies,27500,2015,ford,excellent,6 cylinders,96700,clean,automatic,4wd,full-size,truck,grey
"bakersfield, CA",9388,2015,hyundai,excellent,4 cylinders,96682,clean,automatic,fwd,mid-size,sedan,silver
"austin, TX",6900,2014,nissan,excellent,4 cylinders,96679,clean,automatic,fwd,mid-size,sedan,silver
boston,3500,2013,fiat,excellent,4 cylinders,96678,clean,automatic,fwd,sub-compact,hatchback,white
"phoenix, AZ",8950,2010,ford,excellent,6 cylinders,96677,clean,automatic,rwd,sub-compact,coupe,black
"winston-salem, NC",6400,2017,ford,good,4 cylinders,96672,clean,automatic,fwd,compact,sedan,grey
sacramento,15435,2011,dodge,like new,6 cylinders,96668,clean,automatic,4wd,full-size,SUV,black
"modesto, CA",15435,2011,dodge,like new,6 cylinders,96668,clean,automatic,4wd,full-size,SUV,black
"boise, ID",8995,2013,hyundai,excellent,4 cylinders,96668,clean,automatic,fwd,compact,hatchback,red
"mansfield, OH",10995,2015,chevrolet,excellent,4 cylinders,96663,clean,automatic,fwd,mid-size,sedan,grey
"mansfield, OH",10995,2015,chevrolet,excellent,4 cylinders,96663,clean,automatic,fwd,mid-size,sedan,grey
"Akron, OH",5377,2014,ford,excellent,4 cylinders,96659,clean,automatic,fwd,compact,sedan,red
"cleveland, OH",5377,2014,ford,excellent,4 cylinders,96659,clean,automatic,fwd,compact,sedan,red
"chattanooga, TN",15900,2014,ford,good,6 cylinders,96644,clean,automatic,fwd,full-size,SUV,white
albuquerque,21849,2014,ram,good,8 cylinders,96638,clean,automatic,4wd,full-size,truck,black
wyoming,21849,2014,ram,good,8 cylinders,96638,clean,automatic,4wd,full-size,truck,black
"el paso, TX",25995,2015,chevrolet,excellent,8 cylinders,96618,clean,automatic,rwd,full-size,pickup,white
"flint, MI",13500,2016,subaru,excellent,4 cylinders,96617,clean,automatic,4wd,mid-size,wagon,silver
"el paso, TX",25995,2015,chevrolet,excellent,8 cylinders,96616,clean,automatic,rwd,full-size,pickup,white
albuquerque,9500,2013,ford,excellent,6 cylinders,96615,clean,automatic,fwd,mid-size,SUV,silver
"cleveland, OH",13900,2010,nissan,excellent,8 cylinders,96600,clean,automatic,4wd,full-size,pickup,silver
"atlanta, GA",10000,2014,kia,excellent,4 cylinders,96600,clean,automatic,fwd,mid-size,SUV,grey
detroit metro,7995,2011,chevrolet,excellent,4 cylinders,96598,clean,automatic,4wd,full-size,SUV,brown
new hampshire,10745,2010,audi,excellent,6 cylinders,96596,clean,automatic,4wd,mid-size,sedan,grey
boston,15999,2013,chevrolet,excellent,8 cylinders,96591,clean,automatic,4wd,full-size,truck,white
south florida,1800,2015,chrysler,like new,4 cylinders,96590,clean,automatic,fwd,full-size,sedan,white
"lexington, KY",13925,2014,ford,excellent,6 cylinders,96590,clean,automatic,4wd,full-size,SUV,grey
"birmingham, AL",2500,2011,chevrolet,good,4 cylinders,96579,clean,automatic,fwd,mid-size,SUV,silver
"lansing, MI",17750,2013,chevrolet,excellent,8 cylinders,96565,clean,automatic,4wd,mid-size,truck,blue
"lansing, MI",16950,2013,chevrolet,excellent,8 cylinders,96565,clean,automatic,4wd,mid-size,truck,blue
SF bay area,15999,2014,honda,excellent,4 cylinders,96561,clean,manual,fwd,full-size,coupe,orange
"treasure coast, FL",22477,2014,chevrolet,excellent,8 cylinders,96555,clean,automatic,4wd,full-size,truck,white
"mansfield, OH",14995,2011,chevrolet,excellent,8 cylinders,96549,clean,automatic,4wd,full-size,truck,blue
"lexington, KY",3900,2010,toyota,excellent,4 cylinders,96547,rebuilt,automatic,4wd,compact,sedan,grey
"Omaha-Council Bluffs, NE-IA",19900,2016,jeep,good,6 cylinders,96545,clean,automatic,4wd,mid-size,SUV,white
"myrtle beach, SC",26998,2015,ford,like new,8 cylinders,96545,clean,automatic,rwd,full-size,truck,red
"lansing, MI",17950,2013,jeep,excellent,6 cylinders,96544,clean,automatic,4wd,compact,SUV,silver
"South Bend, IN",22995,2015,ford,good,8 cylinders,96539,clean,automatic,4wd,full-size,truck,black
southwest michigan,22995,2015,ford,good,8 cylinders,96539,clean,automatic,4wd,full-size,truck,black
"billings, MT",25375,2013,ford,like new,8 cylinders,96531,clean,automatic,4wd,full-size,truck,red
"billings, MT",25375,2013,ford,like new,8 cylinders,96531,clean,automatic,4wd,full-size,truck,red
"bozeman, MT",25375,2013,ford,like new,8 cylinders,96531,clean,automatic,4wd,full-size,truck,red
"billings, MT",25375,2013,ford,like new,8 cylinders,96531,clean,automatic,4wd,full-size,truck,red
"bozeman, MT",25375,2013,ford,like new,8 cylinders,96531,clean,automatic,4wd,full-size,truck,red
"billings, MT",25375,2013,ford,like new,8 cylinders,96531,clean,automatic,4wd,full-size,truck,red
"billings, MT",25375,2013,ford,like new,8 cylinders,96531,clean,automatic,4wd,full-size,truck,red
wyoming,25375,2013,ford,like new,8 cylinders,96531,clean,automatic,4wd,full-size,truck,red
"bozeman, MT",25375,2013,ford,like new,8 cylinders,96531,clean,automatic,4wd,full-size,truck,red
"bozeman, MT",25375,2013,ford,like new,8 cylinders,96531,clean,automatic,4wd,full-size,truck,red
wyoming,25375,2013,ford,like new,8 cylinders,96531,clean,automatic,4wd,full-size,truck,red
wyoming,25375,2013,ford,like new,8 cylinders,96531,clean,automatic,4wd,full-size,truck,red
south jersey,9999,2010,mercedes-benz,excellent,6 cylinders,96523,clean,automatic,4wd,mid-size,sedan,white
maine,9995,2012,honda,excellent,4 cylinders,96521,clean,automatic,fwd,mid-size,sedan,white
"kansas city, MO",25995,2014,chevrolet,excellent,8 cylinders,96502,clean,automatic,4wd,full-size,truck,silver
"grand rapids, MI",8900,2012,nissan,excellent,4 cylinders,96500,lien,automatic,fwd,full-size,sedan,silver
"cedar rapids, IA",15000,2011,chevrolet,fair,8 cylinders,96500,clean,automatic,4wd,full-size,pickup,red
northern WI,13000,2013,chevrolet,good,6 cylinders,96500,clean,automatic,4wd,full-size,SUV,grey
"corpus christi, TX",9950,2011,nissan,good,4 cylinders,96500,clean,automatic,fwd,compact,SUV,white
"corpus christi, TX",9950,2011,nissan,good,4 cylinders,96500,clean,automatic,fwd,compact,SUV,white
"brownsville, TX",16500,2013,ford,excellent,8 cylinders,96500,clean,automatic,4wd,full-size,pickup,silver
medford-ashland,16500,2014,nissan,excellent,6 cylinders,96500,clean,automatic,4wd,mid-size,SUV,white
"pensacola, FL",15500,2013,toyota,excellent,6 cylinders,96500,clean,automatic,fwd,full-size,SUV,white
"louisville, KY",14495,2012,gmc,excellent,6 cylinders,96490,clean,automatic,4wd,full-size,SUV,white
new hampshire,1650,2013,chevrolet,fair,6 cylinders,96490,clean,automatic,fwd,full-size,sedan,white
"louisville, KY",14495,2012,gmc,excellent,6 cylinders,96490,clean,automatic,4wd,full-size,SUV,white
"louisville, KY",14495,2012,gmc,excellent,6 cylinders,96490,clean,automatic,4wd,full-size,SUV,white
"louisville, KY",14495,2012,gmc,excellent,6 cylinders,96490,clean,automatic,4wd,full-size,SUV,white
"louisville, KY",14495,2012,gmc,excellent,6 cylinders,96490,clean,automatic,4wd,full-size,SUV,white
"louisville, KY",13995,2012,gmc,excellent,6 cylinders,96490,clean,automatic,4wd,full-size,SUV,white
"louisville, KY",13995,2012,gmc,excellent,6 cylinders,96490,clean,automatic,4wd,full-size,SUV,white
"louisville, KY",13995,2012,gmc,excellent,6 cylinders,96490,clean,automatic,4wd,full-size,SUV,white
"Minneapolis–Saint Paul, MN",24299,2015,ram,excellent,8 cylinders,96485,clean,automatic,4wd,full-size,truck,silver
boston,5245,2012,audi,excellent,4 cylinders,96443,clean,automatic,4wd,compact,sedan,white
new hampshire,5245,2012,audi,excellent,4 cylinders,96443,clean,automatic,4wd,compact,sedan,white
"Fort Collins, CO",13999,2010,ford,excellent,8 cylinders,96442,clean,manual,4wd,full-size,truck,red
"pensacola, FL",13995,2013,ford,good,6 cylinders,96431,clean,automatic,fwd,full-size,SUV,black
"South Bend, IN",14995,2013,ford,good,8 cylinders,96428,clean,automatic,4wd,full-size,truck,grey
southwest michigan,14995,2013,ford,good,8 cylinders,96428,clean,automatic,4wd,full-size,truck,grey
"fort wayne, IN",8999,2013,nissan,good,4 cylinders,96426,clean,automatic,4wd,full-size,SUV,black
"pittsburgh, PA",12995,2015,ford,excellent,6 cylinders,96425,clean,automatic,4wd,full-size,sedan,white
new hampshire,27995,2015,ford,excellent,6 cylinders,96422,clean,automatic,rwd,full-size,van,white
"wichita, KS",17990,2014,ford,excellent,8 cylinders,96412,clean,automatic,rwd,full-size,SUV,grey
"Waterloo, IA",13499,2012,jeep,like new,4 cylinders,96400,clean,automatic,4wd,mid-size,SUV,red
rhode island,7800,2014,dodge,excellent,4 cylinders,96393,clean,automatic,fwd,mid-size,SUV,blue
"springfield, MO",27950,2015,ford,excellent,6 cylinders,96391,clean,automatic,4wd,full-size,pickup,red
"springfield, MO",27950,2015,ford,excellent,6 cylinders,96391,clean,automatic,4wd,full-size,pickup,red
"orange county, CA",2249,2011,honda,fair,4 cylinders,96384,salvage,automatic,fwd,mid-size,sedan,black
"rochester, MN",22900,2013,ford,like new,6 cylinders,96366,clean,automatic,4wd,full-size,pickup,red
"la crosse, WI",22900,2013,ford,like new,6 cylinders,96366,clean,automatic,4wd,full-size,pickup,red
utica-rome-oneida,14000,2013,ford,excellent,6 cylinders,96364,clean,automatic,4wd,full-size,SUV,grey
"watertown, NY",14000,2013,ford,excellent,6 cylinders,96364,clean,automatic,4wd,full-size,SUV,grey
"syracuse, NY",14000,2013,ford,excellent,6 cylinders,96364,clean,automatic,4wd,full-size,SUV,grey
new york city,6800,2016,hyundai,like new,4 cylinders,96358,clean,automatic,fwd,full-size,sedan,grey
"milwaukee, WI",12995,2017,ford,excellent,4 cylinders,96345,clean,automatic,rwd,full-size,van,silver
seattle-tacoma,15995,2014,subaru,good,4 cylinders,96338,clean,automatic,4wd,compact,wagon,silver
"grand rapids, MI",19900,2014,jeep,excellent,6 cylinders,96335,clean,automatic,4wd,full-size,SUV,blue
"nashville, TN",17475,2013,nissan,good,8 cylinders,96331,clean,automatic,rwd,full-size,SUV,white
new york city,5900,2014,nissan,like new,4 cylinders,96331,clean,automatic,fwd,full-size,sedan,silver
"louisville, KY",19595,2012,toyota,excellent,8 cylinders,96326,clean,automatic,rwd,full-size,SUV,silver
"louisville, KY",19595,2012,toyota,excellent,8 cylinders,96326,clean,automatic,rwd,full-size,SUV,silver
"louisville, KY",19595,2012,toyota,excellent,8 cylinders,96326,clean,automatic,rwd,full-size,SUV,silver
"louisville, KY",19595,2012,toyota,excellent,8 cylinders,96326,clean,automatic,rwd,full-size,SUV,silver
"louisville, KY",19595,2012,toyota,excellent,8 cylinders,96326,clean,automatic,rwd,full-size,SUV,silver
"louisville, KY",19595,2012,toyota,excellent,8 cylinders,96326,clean,automatic,rwd,full-size,SUV,silver
lehigh valley,9900,2015,toyota,good,6 cylinders,96322,salvage,automatic,4wd,mid-size,pickup,grey
maine,7495,2012,honda,excellent,4 cylinders,96322,clean,automatic,fwd,full-size,sedan,grey
new hampshire,7495,2012,honda,excellent,4 cylinders,96322,clean,automatic,fwd,mid-size,sedan,grey
maine,7495,2012,honda,excellent,4 cylinders,96322,clean,automatic,fwd,mid-size,sedan,grey
"space coast, FL",6499,2010,ford,excellent,4 cylinders,96311,clean,automatic,rwd,mid-size,SUV,white
"space coast, FL",6499,2010,ford,excellent,4 cylinders,96311,clean,automatic,rwd,mid-size,SUV,white
"space coast, FL",6499,2010,ford,excellent,4 cylinders,96311,clean,automatic,rwd,mid-size,SUV,white
"space coast, FL",6499,2010,ford,excellent,4 cylinders,96311,clean,automatic,rwd,mid-size,SUV,white
"pensacola, FL",16900,2017,chevrolet,excellent,8 cylinders,96305,clean,automatic,rwd,full-size,van,white
indianapolis,7900,2013,dodge,fair,4 cylinders,96305,clean,manual,fwd,mid-size,sedan,red
"Lafayette, OH",7900,2013,dodge,good,4 cylinders,96304,clean,manual,fwd,compact,sedan,red
"Lafayette, OH",7900,2013,dodge,good,4 cylinders,96304,clean,manual,fwd,compact,sedan,red
"peoria, IL",7400,2011,nissan,good,4 cylinders,96300,clean,automatic,4wd,compact,hatchback,grey
"lawrence, KS",12950,2013,toyota,excellent,6 cylinders,96300,clean,automatic,fwd,full-size,sedan,grey
new orleans,25950,2016,toyota,good,6 cylinders,96297,clean,automatic,4wd,full-size,pickup,orange
"Fort Collins, CO",9999,2012,ford,excellent,6 cylinders,96295,clean,automatic,4wd,compact,SUV,black
"boulder, CO",9999,2012,ford,excellent,6 cylinders,96295,clean,automatic,4wd,compact,SUV,black
"tri-cities, TN",6850,2015,ford,excellent,4 cylinders,96290,clean,automatic,fwd,compact,sedan,silver
"new haven, CT",8495,2012,nissan,excellent,4 cylinders,96289,clean,automatic,4wd,full-size,SUV,silver
"Madison, WI",10250,2011,subaru,good,4 cylinders,96283,clean,automatic,4wd,mid-size,SUV,grey
"lynchburg, VA",7995,2010,chevrolet,good,6 cylinders,96261,clean,automatic,4wd,full-size,SUV,black
tampa bay area,6995,2010,toyota,excellent,4 cylinders,96247,clean,automatic,fwd,compact,sedan,white
"el paso, TX",32995,2016,chevrolet,excellent,8 cylinders,96244,clean,automatic,4wd,full-size,pickup,blue
"el paso, TX",32995,2016,chevrolet,excellent,8 cylinders,96244,clean,automatic,4wd,full-size,pickup,blue
"kalamazoo, MI",8497,2011,ford,excellent,4 cylinders,96240,clean,automatic,rwd,mid-size,pickup,white
"battle creek, MI",8497,2011,ford,excellent,4 cylinders,96240,clean,automatic,rwd,mid-size,pickup,white
"tulsa, OK",14000,2015,chevrolet,good,8 cylinders,96231,salvage,automatic,rwd,full-size,truck,white
seattle-tacoma,9999,2013,chevrolet,good,4 cylinders,96230,clean,automatic,fwd,mid-size,sedan,silver
wyoming,29978,2015,ford,good,6 cylinders,96229,clean,automatic,4wd,full-size,truck,brown
albuquerque,29978,2015,ford,good,6 cylinders,96229,clean,automatic,4wd,full-size,truck,brown
"jacksonville, FL",9995,2016,ford,like new,4 cylinders,96227,clean,automatic,fwd,full-size,sedan,silver
"jacksonville, FL",9995,2016,ford,like new,4 cylinders,96227,clean,automatic,fwd,full-size,sedan,silver
"jacksonville, FL",9995,2016,ford,like new,4 cylinders,96227,clean,automatic,fwd,full-size,sedan,silver
"hudson valley, NY",10400,2015,ford,like new,4 cylinders,96226,clean,automatic,4wd,compact,SUV,grey
"greensboro, NC",10499,2011,chevrolet,good,6 cylinders,96207,clean,automatic,rwd,mid-size,coupe,blue
"greensboro, NC",10499,2011,chevrolet,good,6 cylinders,96207,clean,automatic,rwd,mid-size,coupe,blue
"chautauqua, NY",7450,2011,chevrolet,good,8 cylinders,96202,clean,automatic,rwd,full-size,pickup,blue
"buffalo, NY",7450,2011,chevrolet,good,8 cylinders,96202,clean,automatic,rwd,full-size,pickup,blue
"Akron, OH",8900,2011,nissan,excellent,6 cylinders,96200,clean,automatic,fwd,full-size,sedan,black
"Akron, OH",8900,2011,nissan,excellent,6 cylinders,96200,clean,automatic,fwd,full-size,sedan,black
"janesville, WI",6500,2010,ford,excellent,4 cylinders,96200,clean,automatic,rwd,mid-size,pickup,silver
salt lake city,11295,2013,nissan,excellent,6 cylinders,96195,clean,automatic,fwd,full-size,sedan,silver
"long island, NY",26900,2016,ford,good,8 cylinders,96190,clean,automatic,4wd,full-size,truck,black
"Albany, NY",26900,2016,ford,good,8 cylinders,96190,clean,automatic,4wd,full-size,truck,black
"Albany, NY",26900,2016,ford,good,8 cylinders,96190,clean,automatic,4wd,full-size,truck,black
"long island, NY",26900,2016,ford,good,8 cylinders,96190,clean,automatic,4wd,full-size,truck,black
"Albany, NY",26900,2016,ford,good,8 cylinders,96190,clean,automatic,4wd,full-size,truck,black
"Albany, NY",26900,2016,ford,good,8 cylinders,96190,clean,automatic,4wd,full-size,truck,black
"hudson valley, NY",26900,2016,ford,good,8 cylinders,96190,clean,automatic,4wd,full-size,truck,black
"Albany, NY",26900,2016,ford,good,8 cylinders,96190,clean,automatic,4wd,full-size,truck,black
sacramento,12495,2011,chevrolet,excellent,6 cylinders,96173,clean,manual,fwd,mid-size,coupe,silver
"hawaii, US, US",14999,2012,toyota,like new,6 cylinders,96169,clean,automatic,fwd,full-size,van,brown
"hawaii, US, US",14999,2012,toyota,like new,6 cylinders,96169,clean,automatic,fwd,full-size,van,brown
"orange county, CA",3800,2012,toyota,good,4 cylinders,96167,clean,automatic,fwd,full-size,hatchback,silver
"Vermont, IL",12998,2012,jeep,good,6 cylinders,96165,clean,automatic,4wd,mid-size,SUV,grey
"Vermont, IL",12998,2012,jeep,good,6 cylinders,96165,clean,automatic,4wd,mid-size,SUV,grey
"Vermont, IL",13498,2012,acura,good,6 cylinders,96164,clean,automatic,4wd,full-size,sedan,grey
"Vermont, IL",13498,2012,acura,good,6 cylinders,96164,clean,automatic,4wd,full-size,sedan,grey
"charleston, SC",18322,2015,chevrolet,like new,6 cylinders,96163,clean,automatic,rwd,mid-size,truck,green
high rockies,11900,2014,honda,excellent,4 cylinders,96155,clean,automatic,fwd,mid-size,sedan,grey
western slope,11900,2014,honda,excellent,4 cylinders,96155,clean,automatic,fwd,mid-size,sedan,grey
"wichita, KS",4950,2012,nissan,excellent,4 cylinders,96150,rebuilt,automatic,fwd,full-size,sedan,black
"mobile, AL",15878,2015,chevrolet,excellent,6 cylinders,96149,clean,automatic,rwd,compact,coupe,blue
"atlanta, GA",9995,2013,volkswagen,excellent,4 cylinders,96124,clean,automatic,fwd,mid-size,coupe,grey
south jersey,11790,2011,chevrolet,excellent,8 cylinders,96123,clean,automatic,rwd,full-size,van,white
"syracuse, NY",9395,2011,toyota,excellent,4 cylinders,96123,clean,automatic,4wd,mid-size,SUV,white
"boise, ID",8795,2011,kia,excellent,4 cylinders,96123,clean,automatic,fwd,mid-size,sedan,black
"fort wayne, IN",6688,2013,chevrolet,good,4 cylinders,96122,clean,automatic,fwd,compact,sedan,black
"toledo, OH",6688,2013,chevrolet,good,4 cylinders,96122,clean,automatic,fwd,compact,sedan,black
"lexington, KY",10539,2012,subaru,excellent,4 cylinders,96119,clean,automatic,4wd,mid-size,wagon,grey
albuquerque,16900,2014,ford,good,6 cylinders,96100,clean,automatic,4wd,mid-size,SUV,grey
"springfield, MO",8995,2014,ford,like new,4 cylinders,96100,clean,automatic,fwd,mid-size,sedan,black
"Fort Collins, CO",12995,2013,bmw,excellent,8 cylinders,96100,clean,automatic,4wd,mid-size,SUV,black
"washington, DC",12500,2016,ford,good,4 cylinders,96090,clean,automatic,fwd,full-size,van,white
"phoenix, AZ",18955,2011,gmc,good,8 cylinders,96083,clean,automatic,4wd,full-size,SUV,white
"boise, ID",24699,2016,toyota,excellent,6 cylinders,96072,clean,automatic,4wd,full-size,SUV,silver
"milwaukee, WI",18550,2010,jeep,excellent,6 cylinders,96065,clean,automatic,4wd,full-size,SUV,blue
SF bay area,8990,2012,volkswagen,excellent,4 cylinders,96063,clean,automatic,fwd,mid-size,sedan,black
"eau claire, WI",18995,2014,ram,excellent,8 cylinders,96038,clean,automatic,4wd,full-size,pickup,black
"Vermont, IL",12998,2014,toyota,excellent,4 cylinders,96035,clean,automatic,rwd,full-size,truck,white
"Vermont, IL",12998,2014,toyota,excellent,4 cylinders,96035,clean,automatic,rwd,full-size,truck,white
"Vermont, IL",12998,2014,toyota,excellent,4 cylinders,96035,clean,automatic,rwd,full-size,truck,white
"Vermont, IL",12998,2014,toyota,excellent,4 cylinders,96035,clean,automatic,rwd,full-size,truck,white
"Vermont, IL",12998,2014,toyota,excellent,4 cylinders,96035,clean,automatic,rwd,full-size,truck,white
"Vermont, IL",12998,2014,toyota,excellent,4 cylinders,96035,clean,automatic,rwd,full-size,truck,white
"hudson valley, NY",4500,2010,nissan,excellent,4 cylinders,96026,clean,automatic,fwd,compact,sedan,grey
"kalamazoo, MI",14997,2012,jeep,excellent,8 cylinders,96016,clean,automatic,4wd,mid-size,SUV,red
"kalamazoo, MI",14997,2012,jeep,excellent,8 cylinders,96016,clean,automatic,4wd,mid-size,SUV,red
"grand rapids, MI",14997,2012,jeep,excellent,8 cylinders,96016,clean,automatic,4wd,full-size,SUV,red
"boise, ID",24995,2014,jeep,excellent,6 cylinders,96014,clean,manual,4wd,mid-size,SUV,black
"boise, ID",24995,2014,jeep,excellent,6 cylinders,96014,clean,manual,4wd,mid-size,SUV,black
"boise, ID",24995,2014,jeep,excellent,6 cylinders,96014,clean,manual,4wd,mid-size,SUV,black
boston,15995,2013,ford,good,6 cylinders,96006,clean,automatic,4wd,full-size,SUV,black
new hampshire,15995,2013,ford,good,6 cylinders,96006,clean,automatic,4wd,full-size,SUV,black
"mobile, AL",11995,2014,toyota,excellent,4 cylinders,96001,clean,automatic,fwd,mid-size,sedan,grey
"mobile, AL",11995,2014,toyota,excellent,4 cylinders,96001,clean,automatic,fwd,mid-size,sedan,grey
"rochester, NY",4499,2010,hyundai,good,4 cylinders,96000,clean,automatic,fwd,mid-size,sedan,silver
"Fort Myers, Florida",7200,2015,nissan,excellent,4 cylinders,96000,rebuilt,automatic,fwd,full-size,sedan,white
"birmingham, AL",6000,2012,honda,like new,4 cylinders,96000,rebuilt,automatic,fwd,full-size,coupe,red
"milwaukee, WI",6250,2014,hyundai,good,4 cylinders,96000,salvage,automatic,fwd,full-size,sedan,grey
"boise, ID",8699,2012,honda,excellent,4 cylinders,96000,clean,manual,fwd,mid-size,sedan,black
"tucson, AZ",10995,2010,subaru,excellent,4 cylinders,96000,clean,manual,4wd,mid-size,SUV,red
"rochester, NY",10900,2012,gmc,fair,8 cylinders,96000,clean,automatic,4wd,full-size,truck,white
"york, PA",15900,2015,jeep,good,6 cylinders,96000,clean,automatic,4wd,full-size,SUV,silver
"kansas city, MO",7000,2012,kia,good,4 cylinders,96000,clean,automatic,fwd,full-size,wagon,red
"Akron, OH",5950,2010,kia,good,4 cylinders,96000,clean,automatic,fwd,mid-size,sedan,silver
"state college, PA",6000,2010,mazda,good,4 cylinders,96000,clean,automatic,fwd,compact,sedan,black
western massachusetts,4500,2013,dodge,good,4 cylinders,96000,clean,automatic,fwd,compact,sedan,silver
ventura county,10000,2015,subaru,good,4 cylinders,96000,clean,automatic,4wd,compact,sedan,silver
"buffalo, NY",7000,2013,kia,good,4 cylinders,96000,clean,automatic,fwd,mid-size,SUV,white
"rochester, NY",16350,2011,toyota,good,6 cylinders,96000,clean,automatic,4wd,mid-size,pickup,black
"morgantown, WV",13700,2010,lexus,good,6 cylinders,96000,clean,automatic,4wd,mid-size,SUV,black
"st cloud, MN",11499,2013,ford,good,6 cylinders,96000,clean,automatic,4wd,mid-size,SUV,white
"Duluth, MN",11000,2013,ford,good,6 cylinders,96000,clean,automatic,4wd,mid-size,SUV,blue
"Oklahoma City, OK",10900,2011,nissan,good,6 cylinders,96000,clean,automatic,4wd,mid-size,SUV,black
"muskegon, MI",7995,2013,chrysler,good,6 cylinders,96000,clean,automatic,fwd,mid-size,sedan,grey
"Oklahoma City, OK",1500,2011,nissan,good,6 cylinders,96000,clean,automatic,fwd,mid-size,SUV,black
central NJ,6995,2013,ford,like new,4 cylinders,96000,clean,automatic,fwd,mid-size,SUV,white
daytona beach,13000,2014,chrysler,like new,6 cylinders,96000,clean,automatic,fwd,full-size,van,grey
"asheville, NC",12995,2014,bmw,like new,6 cylinders,96000,clean,automatic,4wd,compact,hatchback,grey
maine,16995,2010,chevrolet,like new,8 cylinders,96000,clean,automatic,4wd,full-size,truck,red
central NJ,9100,2012,ford,excellent,8 cylinders,96000,clean,automatic,rwd,full-size,van,white
"sioux falls, SD",28500,2015,chevrolet,excellent,8 cylinders,96000,clean,automatic,4wd,full-size,pickup,white
"sioux falls, SD",28500,2015,chevrolet,excellent,8 cylinders,96000,clean,automatic,4wd,full-size,pickup,white
"sioux falls, SD",28500,2015,chevrolet,excellent,8 cylinders,96000,clean,automatic,4wd,full-size,pickup,white
little rock,24250,2014,chevrolet,excellent,8 cylinders,96000,clean,automatic,4wd,full-size,truck,green
lehigh valley,16999,2011,chevrolet,excellent,8 cylinders,96000,clean,automatic,4wd,full-size,truck,red
"grand rapids, MI",16500,2012,jeep,excellent,6 cylinders,96000,clean,automatic,4wd,full-size,SUV,black
"hartford, CT",13800,2013,ford,excellent,6 cylinders,96000,clean,automatic,4wd,full-size,SUV,silver
"washington, DC",13400,2010,acura,excellent,6 cylinders,96000,clean,automatic,4wd,full-size,SUV,red
"Albany, NY",8250,2010,hyundai,excellent,6 cylinders,96000,clean,automatic,4wd,full-size,SUV,grey
"richmond, VA",11900,2011,audi,excellent,6 cylinders,96000,clean,automatic,4wd,mid-size,SUV,black
"manhattan, KS",13495,2015,ford,excellent,6 cylinders,96000,clean,automatic,fwd,full-size,SUV,white
san antonio,10750,2013,nissan,excellent,6 cylinders,96000,clean,automatic,fwd,full-size,SUV,grey
"rochester, NY",31109,2016,ford,excellent,6 cylinders,96000,clean,automatic,4wd,full-size,truck,grey
"stockton, CA",25000,2015,ford,excellent,6 cylinders,96000,clean,automatic,4wd,full-size,truck,silver
"stockton, CA",25000,2015,ford,excellent,6 cylinders,96000,clean,automatic,4wd,full-size,truck,silver
"nashville, TN",18995,2015,ford,excellent,6 cylinders,96000,clean,automatic,rwd,full-size,van,white
"nashville, TN",18995,2015,ford,excellent,6 cylinders,96000,clean,automatic,rwd,full-size,van,white
rhode island,11900,2015,ford,excellent,6 cylinders,96000,clean,automatic,4wd,full-size,sedan,red
"helena, MT",5500,2010,chevrolet,excellent,6 cylinders,96000,clean,automatic,fwd,full-size,sedan,black
"phoenix, AZ",9800,2014,chrysler,excellent,6 cylinders,96000,clean,automatic,fwd,full-size,sedan,black
"Albany, NY",8995,2010,bmw,excellent,6 cylinders,96000,clean,automatic,4wd,full-size,sedan,grey
"klamath falls, OR",8600,2012,chrysler,excellent,6 cylinders,96000,clean,automatic,fwd,full-size,mini-van,white
"Duluth, MN",11500,2014,dodge,excellent,6 cylinders,96000,clean,automatic,fwd,mid-size,mini-van,blue
"lansing, MI",9450,2011,audi,excellent,6 cylinders,96000,clean,automatic,fwd,mid-size,convertible,blue
maine,18750,2016,honda,excellent,4 cylinders,96000,clean,automatic,4wd,full-size,mini-van,red
"harrisburg, PA",8500,2011,volkswagen,excellent,4 cylinders,96000,clean,automatic,fwd,compact,hatchback,red
"tucson, AZ",8995,2013,chevrolet,excellent,4 cylinders,96000,clean,automatic,fwd,mid-size,SUV,black
"kalamazoo, MI",12000,2013,bmw,excellent,4 cylinders,96000,clean,automatic,4wd,full-size,sedan,blue
north jersey,8250,2011,honda,excellent,4 cylinders,96000,clean,automatic,fwd,compact,sedan,grey
"washington, DC",7395,2016,nissan,excellent,4 cylinders,96000,clean,automatic,fwd,compact,sedan,black
"Worcester, MA",6445,2011,toyota,excellent,4 cylinders,96000,clean,automatic,fwd,compact,sedan,black
central NJ,5575,2010,honda,excellent,4 cylinders,96000,clean,automatic,fwd,mid-size,sedan,red
"battle creek, MI",7500,2014,chevrolet,excellent,4 cylinders,96000,clean,automatic,fwd,mid-size,sedan,blue
medford-ashland,5999,2012,nissan,excellent,4 cylinders,96000,clean,automatic,fwd,mid-size,sedan,red
"clarksville, TN",7800,2014,ford,excellent,4 cylinders,96000,clean,automatic,fwd,mid-size,sedan,red
"long island, NY",27800,2014,chevrolet,good,8 cylinders,95997,clean,automatic,4wd,full-size,SUV,black
